Year,State,Pop_Est,TTL_Cnty,Cnty_Rpt,Dys_w_AQI,Dys_NM,Dys_Blw_Thr,Dys_Abv_Thr,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Latitude,Longitude,Percent of days measured,Percent of counties reporting
1980,Nevada,810215,17,2,732,0,535,197,230,305,158,32,7,0,429,248,142,241,273,218,0,0,-117.07184056399967,39.493240390000494,1.0,0.11764705882352941
1980,New Hampshire,924250,10,4,1085,379,1026,59,695,331,36,18,5,0,669,341,187,783,0,302,0,0,-71.50036091999965,43.65595011300047,0.7411202185792349,0.4
1980,New Jersey,7376330,21,20,6412,908,5529,883,3582,1947,443,296,144,0,4021,2369,945,3339,1163,1910,0,0,-74.27369128799967,40.13057004800049,0.8759562841530054,0.9523809523809523
1980,New Mexico,1309400,33,4,1460,4,1409,51,1139,270,30,12,9,0,490,265,140,1057,48,355,0,0,-106.24058098499967,34.52088095200048,0.9972677595628415,0.12121212121212122
1980,New York,17566754,62,21,7257,429,6590,667,5464,1126,379,200,88,0,4270,1974,734,1759,1083,4415,0,0,-75.54397042699964,42.82700103200045,0.944184231069477,0.3387096774193548
1980,North Carolina,5898980,100,9,2318,976,1877,441,1205,672,306,115,20,0,1741,1053,499,913,0,1405,0,0,-79.15925046299964,35.466220975000454,0.7037037037037037,0.09
1980,North Dakota,654380,53,3,1042,56,1024,18,921,103,17,1,0,0,430,158,97,0,141,901,0,0,-100.11842104899966,47.47531977900047,0.9489981785063752,0.05660377358490566
1980,Ohio,10800650,88,22,6992,1060,6169,823,4647,1522,580,204,39,0,4237,2180,846,1131,1205,4656,0,0,-82.40426005599966,40.06021014100048,0.8683556880278192,0.25
1980,Oklahoma,3040758,77,3,1063,35,939,124,604,335,79,36,9,0,635,311,145,115,344,604,0,0,-97.52107021399968,35.47203135600046,0.9681238615664846,0.03896103896103896
1980,Oregon,2641218,36,7,2157,405,2061,96,1402,659,75,17,4,0,1095,476,291,1225,40,892,0,0,-120.15503132599969,44.56744942400047,0.84192037470726,0.19444444444444445
1980,Pennsylvania,11868305,67,23,6848,1570,5776,1072,4092,1684,539,352,180,1,4923,2864,990,374,3026,3448,0,0,-77.86070029399963,40.79373015200048,0.8134948918983131,0.34328358208955223
